#   W       w(lab)    sigT     sigL     sigLT   sigLT'   sigTT'   sigL0    sigLT0  sigLT0'
# (MeV)     (MeV)     (mcb)    (mcb)    (mcb)    (mcb)    (mcb)    (mcb)    (mcb)    (mcb)
 1880.0   1600.8      7.18     1.28      .04    -1.08    -3.32     1.38      .05    -1.12
 1885.0   1610.9      7.16     1.26      .04    -1.08    -3.33     1.36      .04    -1.12
 1890.0   1620.9      7.14     1.23      .04    -1.07    -3.35     1.35      .04    -1.12
 1895.0   1631.0      7.11     1.21      .03    -1.06    -3.38     1.34      .03    -1.12
 1900.0   1641.1      7.09     1.18      .03    -1.05    -3.41     1.32      .03    -1.12
 1905.0   1651.3      7.07     1.16      .03    -1.05    -3.44     1.31      .03    -1.12
 1910.0   1661.4      7.06     1.13      .02    -1.04    -3.49     1.30      .02    -1.12
 1915.0   1671.6      7.04     1.11      .02    -1.04    -3.54     1.29      .02    -1.12
 1920.0   1681.8      7.03     1.09      .02    -1.03    -3.59     1.27      .02    -1.12
 1925.0   1692.1      7.03     1.07      .02    -1.03    -3.65     1.26      .02    -1.12
 1930.0   1702.4      7.01     1.05      .02    -1.03    -3.72     1.25      .02    -1.12
 1935.0   1712.7      7.01     1.03      .02    -1.02    -3.79     1.24      .02    -1.12
 1940.0   1723.0      7.00     1.01      .02    -1.02    -3.86     1.23      .02    -1.12
 1945.0   1733.3      7.00      .99      .02    -1.01    -3.94     1.22      .02    -1.12
 1950.0   1743.7      7.00      .97      .02    -1.01    -4.02     1.21      .03    -1.12
 1955.0   1754.1      7.00      .96      .03    -1.00    -4.10     1.20      .03    -1.12
 1960.0   1764.5      7.00      .94      .03     -.99    -4.18     1.19      .03    -1.12
 1965.0   1775.0      7.00      .92      .04     -.98    -4.26     1.18      .04    -1.11
 1970.0   1785.5      7.00      .91      .04     -.98    -4.35     1.17      .05    -1.11
 1975.0   1796.0      7.00      .89      .05     -.97    -4.43     1.17      .05    -1.11
 1980.0   1806.5      7.00      .88      .05     -.96    -4.51     1.16      .06    -1.10
 1985.0   1817.1      7.01      .87      .06     -.95    -4.59     1.15      .06    -1.09
 1990.0   1827.7      7.01      .85      .06     -.94    -4.67     1.15      .07    -1.09
 1995.0   1838.3      7.01      .84      .07     -.93    -4.75     1.14      .08    -1.09
 2000.0   1849.0      7.03      .83      .07     -.92    -4.83     1.14      .08    -1.07
