Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Comments,Fill 1: 3rd Tanker Batch,Fill 1: 3rd Tanker,Fill 1: Amount from 3rd Tanker (gal),Comments,Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
T59-B03,WT-163:SO18,wood,james,4,BLK:06 PLN:22 POS:10,MFV 04781,132.30,5/1/2013 23:08,5/2/2013 16:41,17:33:39,swap,T59-B03,WT-165:S017,113.9,,,,,,246.20,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:22 POS:10,MFV 04781,3,5/13/2013 7:16,5/13/2013 7:25,0:09:33,,,,,3.00,T64-B13,WT163:S066,Brent,Perko,4,BLK:06 PLN:22 POS:10,MFV 04781,1.6,5/30/2014 15:43,5/30/2014 15:49,0:06:18,"3/4""",,,0.00,1.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,163,MFV 04781,BLK:06 PLN:22 POS:10,250.80,
T59-B03,WT-163:SO18,wood,james,5,BLK:06 PLN:18 POS:10,MFV 02335,139.70,5/1/2013 23:08,5/2/2013 16:41,17:32:33,swap,T59-B03,WT-165:S017,110.6,,,,,,250.30,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:18 POS:10,MFV 02335,2.2,5/13/2013 7:01,5/13/2013 7:08,0:07:29,,,,,2.20,T64-B13,WT163:S066,Brent,Perko,4,BLK:06 PLN:18 POS:10,MFV 02335,0.3,5/30/2014 15:30,5/30/2014 15:32,0:01:46,"1/4""",,,0.00,0.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,164,MFV 02335,BLK:06 PLN:18 POS:10,252.80,
T59-B03,WT-163:SO18,wood,james,7,BLK:06 PLN:14 POS:10,MFV 02772,141.60,5/1/2013 23:08,5/2/2013 16:39,17:30:44,swap,T59-B03,WT-165:S017,109,,,,,,250.60,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:14 POS:10,MFV 02772,1,5/13/2013 7:33,5/13/2013 7:38,0:04:30,,,,,1.00,T64-B13,WT163:S066,Brent,Perko,4,BLK:06 PLN:14 POS:10,MFV 02772,0.3,5/30/2014 15:28,5/30/2014 15:30,0:02:30,"1/2""",,,0.00,0.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,165,MFV 02772,BLK:06 PLN:14 POS:10,251.90,
T59-B03,WT-163:SO18,wood,james,10,BLK:06 PLN:10 POS:10,MFV 02776,142.40,5/1/2013 23:08,5/2/2013 16:37,17:29:15,swap,T59-B03,WT-165:S017,108,,,,,,250.40,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:10 POS:10,MFV 02776,0.8,5/13/2013 7:25,5/13/2013 7:29,0:03:59,,,,,0.80,T64-B13,WT163:S066,Brent,Perko,4,BLK:06 PLN:10 POS:10,MFV 02776,0.3,5/30/2014 15:21,,,"1/2""",,,0.00,0.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,166,MFV 02776,BLK:06 PLN:10 POS:10,251.50,
T59-B03,WT-163:SO18,wood,james,9,BLK:06 PLN:06 POS:10,MFV 02336,158.80,5/1/2013 23:03,5/2/2013 16:29,17:26:18,swap,T59-B03,WT-165:S017,92,,,,,,250.80,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:06 POS:10,MFV 02336,0.5,5/13/2013 7:16,5/13/2013 7:19,0:03:34,,,,,0.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,167,MFV 02336,BLK:06 PLN:06 POS:10,251.30,
T59-B03,WT-163:SO18,wood,james,11,BLK:06 PLN:02 POS:10,MFV 04840,158.10,5/1/2013 23:04,5/2/2013 16:28,17:24:18,swap,T59-B03,WT-165:S017,91.5,,,,,,249.60,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:02 POS:10,MFV 04840,2.2,5/13/2013 7:03,5/13/2013 7:09,0:05:59,,,,,2.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,168,MFV 04840,BLK:06 PLN:02 POS:10,251.80,
T59-B03,WT-165:S017,daniel,jason,2,BLK:06 PLN:28 POS:10,MFV 02346,250.00,5/2/2013 16:22,5/2/2013 19:12,2:49:24,,,,,,,,,,250.00,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:28 POS:10,MFV 02346,1.5,5/13/2013 7:44,5/13/2013 7:54,0:10:06,,,,,1.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,169,MFV 02346,BLK:06 PLN:28 POS:10,251.50,
T59-B03,WT-165:S017,daniel,jason,3,BLK:06 PLN:24 POS:10,MFV 02044,246.20,5/2/2013 16:20,5/2/2013 19:03,2:43:03,,,,,,,,,,246.20,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:24 POS:10,MFV 02044,3.4,5/13/2013 7:25,5/13/2013 7:32,0:06:50,,,,,3.40,T64-B13,WT163:S066,Brent,Perko,4,BLK:06 PLN:24 POS:10,MFV 02044,0.3,5/30/2014 15:50,5/30/2014 15:52,0:02:09,"1/2""",,,0.00,0.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,170,MFV 02044,BLK:06 PLN:24 POS:10,249.90,
T59-B03,WT-165:S017,daniel,jason,4,BLK:06 PLN:20 POS:10,MFV 04768,245.00,5/2/2013 16:43,5/2/2013 19:24,2:41:31,,,,,,,,,,245.00,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:20 POS:10,MFV 04768,2.3,5/13/2013 7:08,5/13/2013 7:15,0:06:36,,,,,2.30,T64-B13,WT163:S066,Brent,Perko,4,BLK:06 PLN:20 POS:10,MFV 04768,2.3,5/30/2014 15:33,5/30/2014 15:42,0:09:50,"1""",,,0.00,2.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,171,MFV 04768,BLK:06 PLN:20 POS:10,249.60,
T59-B03,WT-165:S017,daniel,jason,5,BLK:06 PLN:16 POS:10,MFV 02034,250.60,5/2/2013 16:41,5/2/2013 19:27,2:45:53,,,,,,,,,,250.60,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:16 POS:10,MFV 02034,1.7,5/13/2013 6:58,5/13/2013 7:01,0:02:28,,,,,1.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,172,MFV 02034,BLK:06 PLN:16 POS:10,252.30,
T59-B03,WT-165:S017,daniel,jason,7,BLK:06 PLN:12 POS:10,MFV 04713,248.80,5/2/2013 16:40,5/2/2013 19:24,2:44:47,,,,,,,,,,248.80,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:12 POS:10,MFV 04713,1.1,5/13/2013 7:29,5/13/2013 7:33,0:03:58,,,,,1.10,T64-B13,WT163:S066,Brent,Perko,4,BLK:06 PLN:12 POS:10,MFV 04713,0.9,5/30/2014 15:23,5/30/2014 15:27,0:04:10,"1/2""",,,0.00,0.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,173,MFV 04713,BLK:06 PLN:12 POS:10,250.80,
T59-B03,WT-165:S017,daniel,jason,10,BLK:06 PLN:08 POS:10,MFV 02243,250.30,5/2/2013 16:40,5/2/2013 19:20,2:40:53,,,,,,,,,,250.30,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:08 POS:10,MFV 02243,1.3,5/13/2013 7:19,5/13/2013 7:24,0:04:59,,,,,1.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,174,MFV 02243,BLK:06 PLN:08 POS:10,251.60,
T59-B03,WT-165:S017,daniel,jason,9,BLK:06 PLN:04 POS:10,MFV 02865,249.40,5/2/2013 16:30,5/2/2013 19:19,2:49:34,,,,,,,,,,249.40,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:04 POS:10,MFV 02865,2.2,5/13/2013 7:09,5/13/2013 7:15,0:06:23,,,,,2.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,175,MFV 02865,BLK:06 PLN:04 POS:10,251.60,
T59-B03,WT-165:S017,daniel,jason,11,BLK:06 PLN:00 POS:10,MFV 01405,251.30,5/2/2013 16:28,5/2/2013 19:18,2:49:53,,,,,,,,,,251.30,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:00 POS:10,MFV 01405,2.4,5/13/2013 6:51,5/13/2013 7:03,0:11:47,,,,,2.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,176,MFV 01405,BLK:06 PLN:00 POS:10,253.70,
,,,,,BLK:06 PLN:30 POS:11,MFV 02897,,,,,couldn’t fill pln 30 ends cut off from mistake in assembly,,,,,,,,,0.00,T59-B03,WT-116:S018,daniel,jason,6,BLK:06 PLN:30 POS:11,MFV 02897,0,,,,Glued cap module,,,,0.00,T64-B13,WT163:S066,Brent,Perko,,BLK:06 PLN:30 POS:11,MFV 02897,0,,,,"dead module-- nfg,green tape ,cap glued on.",,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,177,MFV 02897,BLK:06 PLN:30 POS:11,0.00,
T59-B03,WT-165:S017,james,wood,2,BLK:06 PLN:28 POS:11,MFV 04743,244.10,5/2/2013 19:12,5/2/2013 21:29,2:17:16,,,,,,,,,,244.10,T59-B03,WT-116:S018,daniel,jason,6,BLK:06 PLN:28 POS:11,MFV 04743,1.8,5/10/2013 16:05,5/10/2013 16:08,0:03:34,,,,,1.80,T64-B13,WT163:S066,Brent,Perko,4,BLK:06 PLN:28 POS:11,MFV 04743,3.3,5/30/2014 14:14,5/30/2014 14:24,0:10:22,"plastic,diapered,1 1/4""",,,0.00,3.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,178,MFV 04743,BLK:06 PLN:28 POS:11,249.20,
T59-B03,WT-165:S017,james,wood,3,BLK:06 PLN:26 POS:11,MFV 04694,241.30,5/2/2013 19:03,5/2/2013 21:17,2:14:04,,,,,,,,,,241.30,T59-B03,WT-116:S018,daniel,jason,6,BLK:06 PLN:26 POS:11,MFV 04694,2.4,5/10/2013 15:59,5/10/2013 16:05,0:05:32,,,,,2.40,T64-B13,WT163:S066,Brent,Perko,4,BLK:06 PLN:26 POS:11,MFV 04694,2.1,5/30/2014 14:01,5/30/2014 14:11,0:09:47,"shut off side of DI BLK 04 1 1/2""",,,0.00,2.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,179,MFV 04694,BLK:06 PLN:26 POS:11,245.80,
T59-B03,WT-165:S017,james,wood,4,BLK:06 PLN:22 POS:11,MFV 04788,243.00,5/2/2013 19:25,5/2/2013 21:45,2:19:51,,,,,,,,,,243.00,T59-B03,WT-116:S018,daniel,jason,6,BLK:06 PLN:22 POS:11,MFV 04788,4.1,5/10/2013 14:38,5/10/2013 15:47,1:08:24,,,,,4.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,180,MFV 04788,BLK:06 PLN:22 POS:11,247.10,
T59-B03,WT-165:S017,james,wood,5,BLK:06 PLN:18 POS:11,MFV 02198,247.50,5/2/2013 19:27,5/2/2013 21:43,2:15:42,,,,,,,,,,247.50,T59-B03,WT-116:S018,daniel,jason,6,BLK:06 PLN:18 POS:11,MFV 02198,4.1,5/10/2013 14:22,5/10/2013 14:30,0:07:12,,,,,4.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,181,MFV 02198,BLK:06 PLN:18 POS:11,251.60,
T59-B03,WT-165:S017,james,wood,7,BLK:06 PLN:14 POS:11,MFV 04801,246.90,5/2/2013 19:25,5/2/2013 21:42,2:17:15,,,,,,,,,,246.90,T59-B03,WT-116:S018,daniel,jason,12,BLK:06 PLN:14 POS:11,MFV 04801,2.3,5/10/2013 15:59,5/10/2013 16:08,0:08:34,,,,,2.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,182,MFV 04801,BLK:06 PLN:14 POS:11,249.20,
T59-B03,WT-165:S017,james,wood,10,BLK:06 PLN:10 POS:11,MFV 04808,243.90,5/2/2013 19:02,5/2/2013 21:33,2:31:49,,,,,,,,,,243.90,T59-B03,WT-116:S018,daniel,jason,12,BLK:06 PLN:10 POS:11,MFV 04808,3.3,5/10/2013 15:44,5/10/2013 15:53,0:09:53,,,,,3.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,183,MFV 04808,BLK:06 PLN:10 POS:11,247.20,
T59-B03,WT-165:S017,james,wood,9,BLK:06 PLN:06 POS:11,MFV 02132,249.20,5/2/2013 19:20,5/2/2013 21:33,2:13:45,,,,,,,,,,249.20,T59-B03,WT-116:S018,daniel,jason,12,BLK:06 PLN:06 POS:11,MFV 02132,0.9,5/10/2013 14:33,5/10/2013 14:38,0:04:49,,,,,0.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,184,MFV 02132,BLK:06 PLN:06 POS:11,250.10,
T59-B03,WT-165:S017,james,wood,11,BLK:06 PLN:02 POS:11,MFV 04876,248.50,5/2/2013 19:19,5/2/2013 21:33,2:14:44,,,,,,,,,,248.50,T59-B03,WT-116:S018,daniel,jason,12,BLK:06 PLN:02 POS:11,MFV 04876,1.9,5/10/2013 14:22,5/10/2013 14:28,0:05:10,,,,,1.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,185,MFV 04876,BLK:06 PLN:02 POS:11,250.40,
T59-B03,WT-165:S017,james,wood,3,BLK:06 PLN:24 POS:11,MFV 02108,245.50,5/2/2013 21:17,5/2/2013 23:24,2:06:51,,,,,,,,,,245.50,T59-B03,WT-116:S018,daniel,jason,6,BLK:06 PLN:24 POS:11,MFV 02108,4.3,5/10/2013 15:47,5/10/2013 15:59,0:11:35,,,,,4.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,186,MFV 02108,BLK:06 PLN:24 POS:11,249.80,
T59-B03,WT-165:S017,james,wood,4,BLK:06 PLN:20 POS:11,MFV 04769,245.70,5/2/2013 21:45,5/2/2013 23:56,2:11:01,,,,,,,,,,245.70,T59-B03,WT-116:S018,daniel,jason,6,BLK:06 PLN:20 POS:11,MFV 04769,2.1,5/10/2013 14:30,5/10/2013 14:37,0:07:06,,,,,2.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,187,MFV 04769,BLK:06 PLN:20 POS:11,247.80,
T59-B03,WT-165:S017,james,wood,5,BLK:06 PLN:16 POS:11,MFV 04567,250.40,5/2/2013 21:43,5/2/2013 23:54,2:10:37,,,,,,,,,,250.40,T59-B03,WT-116:S018,daniel,jason,6,BLK:06 PLN:16 POS:11,MFV 04567,1.9,5/10/2013 14:16,5/10/2013 14:21,0:05:31,,,,,1.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,188,MFV 04567,BLK:06 PLN:16 POS:11,252.30,
T59-B03,WT-165:S017,james,wood,7,BLK:06 PLN:12 POS:11,MFV 02240,251.10,5/2/2013 21:42,5/2/2013 23:53,2:11:09,,,,,,,,,,251.10,T59-B03,WT-116:S018,daniel,jason,12,BLK:06 PLN:12 POS:11,MFV 02240,0.9,5/10/2013 15:53,5/10/2013 15:59,0:05:22,,,,,0.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,189,MFV 02240,BLK:06 PLN:12 POS:11,252.00,
T59-B03,WT-165:S017,james,wood,10,BLK:06 PLN:08 POS:11,MFV 02258,250.30,5/2/2013 21:34,5/2/2013 23:47,2:12:42,,,,,,,,,,250.30,T59-B03,WT-116:S018,daniel,jason,12,BLK:06 PLN:08 POS:11,MFV 02258,1.5,5/10/2013 14:38,5/10/2013 15:43,0:04:40,,,,,1.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,190,MFV 02258,BLK:06 PLN:08 POS:11,251.80,
T59-B03,WT-165:S017,james,wood,9,BLK:06 PLN:04 POS:11,MFV 02859,248.70,5/2/2013 21:34,5/2/2013 23:43,2:09:33,,,,,,,,,,248.70,T59-B03,WT-116:S018,daniel,jason,12,BLK:06 PLN:04 POS:11,MFV 02859,1.8,5/10/2013 14:28,5/10/2013 14:33,0:04:53,,,,,1.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,191,MFV 02859,BLK:06 PLN:04 POS:11,250.50,
T59-B03,WT-165:S017,james,wood,11,BLK:06 PLN:00 POS:11,MFV 01338,250.50,5/2/2013 21:34,5/2/2013 23:41,2:07:02,,,,,,,,,,250.50,T59-B03,WT-116:S018,daniel,jason,12,BLK:06 PLN:00 POS:11,MFV 01338,1.9,5/10/2013 14:16,5/10/2013 14:22,0:05:49,,,,,1.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,192,MFV 01338,BLK:06 PLN:00 POS:11,252.40,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,47870.80,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,250.63,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMS,4.8533757885,
